,Word,Definitions
2558,remember,NO DEFINITION FOUND
2559,basketball,a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
2560,deficit,the property of being an amount by which something is less than expected or required
2561,wash,a thin coat of water-base paint
2562,relax,NO DEFINITION FOUND
2563,subway,an electric railway operating below the surface of the ground (usually in a city)
2564,confine,NO DEFINITION FOUND
2565,integration,the action of incorporating a racial or religious group into a community
2566,weakness,a flaw or weak point
2567,cupboard,a small room (or recess) or cabinet used for storage space
2568,refer,NO DEFINITION FOUND
2569,deadly,NO DEFINITION FOUND
2570,operational,NO DEFINITION FOUND
2571,homosexual,someone who practices homosexuality; having a sexual attraction to persons of the same sex
2572,nominate,NO DEFINITION FOUND
2573,scan,the act of scanning; systematic examination of a prescribed region
2574,tumble,an acrobatic feat of rolling or turning end over end
2575,goal,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
2576,rational,an integer or a fraction
2577,fraction,a component of a mixture that has been separated by a fractional process
2578,country,a politically organized body of people under a single government
2579,bank,sloping land (especially the slope beside a body of water)
2580,collect,a short prayer generally preceding the lesson in the Church of Rome or the Church of England
2581,slippery,NO DEFINITION FOUND
2582,deliver,NO DEFINITION FOUND
2583,extract,a solution obtained by steeping or soaking a substance (usually in water)
2584,vegetarian,eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
2585,supplementary,NO DEFINITION FOUND
2586,elbow,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
2587,artificial,NO DEFINITION FOUND
2588,drawer,a boxlike container in a piece of furniture; made so as to slide in and out
2589,ballet,a theatrical representation of a story that is performed to music by trained dancers
2590,economics,the branch of social science that deals with the production and distribution and consumption of goods and services and their management
2591,security,the state of being free from danger or injury
2592,broccoli,plant with dense clusters of tight green flower buds
2593,grain,a relatively small granular particle of a substance
2594,average,a statistic describing the location of a distribution
2595,realize,NO DEFINITION FOUND
2596,fade,a golf shot that curves to the right for a right-handed golfer
2597,bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
2598,gas,the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
2599,ceremony,a formal event performed on a special occasion
2600,pest,a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
2601,impound,NO DEFINITION FOUND
2602,stumble,an unsteady uneven gait
2603,plug,blockage consisting of an object designed to fill a hole tightly
2604,legend,a story about mythical or supernatural beings or events
2605,research,systematic investigation to establish facts
2606,illness,impairment of normal physiological function affecting part or all of an organism
2607,concept,an abstract or general idea inferred or derived from specific instances
2608,primary,a preliminary election where delegates or nominees are chosen
2609,different,NO DEFINITION FOUND
2610,deal,a particular instance of buying or selling
2611,slogan,a favorite saying of a sect or political group
2612,gradient,a graded change in the magnitude of some physical quantity or dimension
2613,audience,a gathering of spectators or listeners at a (usually public) performance
2614,compose,NO DEFINITION FOUND
2615,development,act of improving by expanding or enlarging or refining
2616,empire,the domain ruled by an emperor or empress; the region over which imperial dominion is exercised
2617,folklore,the unwritten lore (stories and proverbs and riddles and songs) of a culture
2618,sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
2619,ambition,a cherished desire
2620,share,assets belonging to or due to or contributed by an individual person or group
2621,fall,the season when the leaves fall from the trees
2622,twist,an unforeseen development
2623,cruelty,a cruel act; a deliberate infliction of pain and suffering
2624,energy,(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
2625,employee,a worker who is hired to perform a job
2626,obligation,"the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr"
2627,recovery,return to an original state
2628,indirect,NO DEFINITION FOUND
2629,issue,an important question that is in dispute and must be settled
2630,node,a connecting point at which several lines come together
2631,package,a collection of things wrapped or boxed together
2632,cabin,small room on a ship or boat where people sleep
2633,plot,a secret scheme to do something (especially something underhand or illegal)
2634,moment,a particular point in time
2635,residence,any address at which you dwell more than temporarily
2636,gloom,a state of partial or total darkness
2637,radio,medium for communication
2638,perfect,a tense of verbs used in describing action that has been completed (sometimes regarded as perfective aspect)
2639,timber,the wood of trees cut and prepared for use as building material
2640,iron,a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
2641,hurt,any physical damage to the body caused by violence or accident or fracture etc.
2642,lost,people who are destined to die soon
2643,sharp,a musical notation indicating one half step higher than the note named
2644,bay,an indentation of a shoreline larger than a cove but smaller than a gulf
2645,bolt,a discharge of lightning accompanied by thunder
2646,ally,a friendly nation
2647,sketch,preliminary drawing for later elaboration
2648,crouch,the act of bending low with the limbs close to the body
2649,state,the territory occupied by one of the constituent administrative districts of a nation
2650,stadium,a large structure for open-air sports or entertainments
2651,cottage,a small house with a single story
2652,crutch,a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking
2653,concession,a contract granting the right to operate a subsidiary business
2654,dealer,someone who purchases and maintains an inventory of goods to be sold
2655,protest,a formal and solemn declaration of objection
2656,inappropriate,NO DEFINITION FOUND
2657,paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses
2658,trouser,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately"
2659,fork,cutlery used for serving and eating food
2660,carve,NO DEFINITION FOUND
2661,apathy,an absence of emotion or enthusiasm
2662,foot,the part of the leg of a human being below the ankle joint
2663,guest,a visitor to whom hospitality is extended
2664,honest,NO DEFINITION FOUND
2665,environmental,NO DEFINITION FOUND
2666,guard,a person who keeps watch over something or someone
2667,inspector,a high ranking police officer
2668,knot,a tight cluster of people or things
2669,assessment,the classification of someone or something with respect to its worth
2670,straw,plant fiber used e.g. for making baskets and hats or as fodder
2671,tip,the extreme end of something; especially something pointed
2672,beautiful,NO DEFINITION FOUND
2673,bee,any of numerous hairy-bodied insects including social and solitary species
2674,tense,a grammatical category of verbs used to express distinctions of time
2675,sample,a small part of something intended as representative of the whole
2676,tolerate,NO DEFINITION FOUND
2677,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
2678,cheat,weedy annual grass often occurs in grainfields and other cultivated land; seeds sometimes considered poisonous
2679,worry,something or someone that causes anxiety; a source of unhappiness
2680,heir,a person who is entitled by law or by the terms of a will to inherit the estate of another
2681,star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
2682,carrot,deep orange edible root of the cultivated carrot plant
2683,divorce,the legal dissolution of a marriage
2684,avant-garde,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
2685,money,the most common medium of exchange; functions as legal tender
2686,contact,close interaction
2687,concede,NO DEFINITION FOUND
2688,transmission,the act of sending a message; causing a message to be transmitted
2689,sex,activities associated with sexual intercourse
2690,image,an iconic mental representation
2691,treaty,a written agreement between two states or sovereigns
2692,drink,a single serving of a beverage
2693,charismatic,NO DEFINITION FOUND
2694,trial,the act of testing something
2695,conscience,motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
2696,multimedia,transmission that combine media of communication (text and graphics and sound etc.)
2697,original,"an original creation (i.e., an audio recording) from which copies can be made"
2698,clarify,NO DEFINITION FOUND
2699,debt,the state of owing something (especially money)
2700,lane,a narrow way or road
2701,shareholder,someone who holds shares of stock in a corporation
2702,praise,an expression of approval and commendation
2703,tenant,someone who pays rent to use land or a building or a car that is owned by someone else
2704,vain,NO DEFINITION FOUND
2705,notebook,a book with blank pages for recording notes or memoranda
2706,cane,a stick that people can lean on to help them walk
2707,invite,a colloquial expression for invitation
2708,frown,a facial expression of dislike or displeasure
2709,revolutionary,a radical supporter of political or social revolution
2710,battery,group of guns or missile launchers operated together at one place
2711,spot,a point located with respect to surface features of some region
2712,unique,NO DEFINITION FOUND
2713,dash,distinctive and stylish elegance
2714,criminal,someone who has committed a crime or has been legally convicted of a crime
2715,save,(sports) the act of preventing the opposition from scoring
2716,forward,"the person who plays the position of forward in certain games, such as basketball, soccer, or hockey"
2717,electronics,the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
2718,shorts,trousers that end at or above the knee
2719,exchange,chemical process in which one atom or ion or group changes places with another
2720,consciousness,an alert cognitive state in which you are aware of yourself and your situation
2721,chalk,a soft whitish calcite
2722,poison,any substance that causes injury or illness or death of a living organism
2723,pleasure,a fundamental feeling that is hard to define but that people desire to experience
2724,mine,excavation in the earth from which ores and minerals are extracted
2725,due,that which is deserved or owed
2726,punch,(boxing) a blow with the fist
2727,guitar,a stringed instrument usually having six strings; played by strumming or plucking
2728,team,a cooperative unit (especially in sports)
2729,sound,the particular auditory effect produced by a given cause
2730,recommend,NO DEFINITION FOUND
2731,survivor,one who lives through affliction
2732,test,trying something to find out about it
2733,woman,an adult female person (as opposed to a man)
2734,function,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
2735,addicted,NO DEFINITION FOUND
2736,slave,a person who is owned by someone
2737,default,loss due to not showing up
2738,demand,an urgent or peremptory request
2739,bush,a low woody perennial plant usually having several major stems
2740,exotic,NO DEFINITION FOUND
2741,obstacle,something immaterial that stands in the way and must be circumvented or surmounted
2742,unit,any division of quantity accepted as a standard of measurement or exchange
2743,digital,NO DEFINITION FOUND
2744,muggy,NO DEFINITION FOUND
2745,revive,NO DEFINITION FOUND
2746,brake,a restraint used to slow or stop a vehicle
2747,perception,the representation of what is perceived; basic component in the formation of a concept
2748,priority,status established in order of importance or urgency
2749,blank,a blank character used to separate successive words in writing or printing
2750,thumb,the thick short innermost digit of the forelimb
2751,finish,a decorative texture or appearance of a surface (or the substance that gives it that appearance)
2752,rocket,any vehicle self-propelled by a rocket engine
2753,electron,an elementary particle with negative charge
2754,burst,the act of exploding or bursting
2755,pony,a range horse of the western United States
2756,stage,any distinct time period in a sequence of events
2757,winter,the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
2758,recognize,NO DEFINITION FOUND
2759,policy,a plan of action adopted by an individual or social group
2760,develop,NO DEFINITION FOUND
2761,funny,an account of an amusing incident (usually with a punch line)
2762,eject,NO DEFINITION FOUND
2763,emergency,a sudden unforeseen crisis (usually involving danger) that requires immediate action
2764,silence,the state of being silent (as when no one is speaking)
2765,grounds,your basis for belief or disbelief; knowledge on which to base belief
2766,loud,NO DEFINITION FOUND
2767,sport,an active diversion requiring physical exertion and competition
2768,front,the side that is forward or prominent
2769,carbon,an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds
2770,absorption,(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
2771,foundation,the basis on which something is grounded
2772,reproduce,NO DEFINITION FOUND
2773,fruit,the ripened reproductive body of a seed plant
2774,laboratory,a workplace for the conduct of scientific research
2775,financial,NO DEFINITION FOUND
2776,white,a member of the Caucasoid race
2777,fast,abstaining from food
2778,recession,the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
2779,vigorous,NO DEFINITION FOUND
2780,faith,a strong belief in a supernatural power or powers that control human destiny
2781,metal,any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.
2782,soldier,an enlisted man or woman who serves in an army
2783,pour,NO DEFINITION FOUND
2784,president,an executive officer of a firm or corporation
2785,form,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
2786,redeem,NO DEFINITION FOUND
2787,agreement,the statement (oral or written) of an exchange of promises
2788,trivial,NO DEFINITION FOUND
2789,flood,the rising of a body of water and its overflowing onto normally dry land
2790,pleasant,NO DEFINITION FOUND
2791,dome,a concave shape whose distinguishing characteristic is that the concavity faces downward
2792,admit,NO DEFINITION FOUND
2793,clash,a loud resonant repeating noise
2794,veil,a garment that covers the head and face
2795,glare,a light within the field of vision that is brighter than the brightness to which the eyes are adapted
2796,study,a detailed critical inspection
2797,donor,person who makes a gift of property
2798,calf,young of domestic cattle
2799,tear,a drop of the clear salty saline solution secreted by the lacrimal glands
2800,background,a person's social heritage: previous experience or training
2801,disk,something with a round shape resembling a flat circular plate
2802,society,an extended social group having a distinctive cultural and economic organization
2803,aid,a resource
2804,mourning,state of sorrow over the death or departure of a loved one
2805,landowner,a holder or proprietor of land
2806,portrait,a word picture of a person's appearance and character
2807,folk,people in general (often used in the plural)
2808,shoulder,the part of the body between the neck and the upper arm
2809,glory,a state of high honor
2810,tight,NO DEFINITION FOUND
2811,relaxation,(physiology) the gradual lengthening of inactive muscle or muscle fibers
2812,dine,NO DEFINITION FOUND
2813,base,installation from which a military force initiates operations
2814,gutter,a channel along the eaves or on the roof; collects and carries away rainwater
2815,certain,NO DEFINITION FOUND
2816,elect,an exclusive group of people
2817,reactor,an electrical device used to introduce reactance into a circuit
2818,imperial,a small tufted beard worn by Emperor Napoleon III
2819,origin,"the place where something begins, where it springs into being"
2820,progressive,a tense of verbs used in describing action that is on-going
2821,circle,ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
2822,toss,the act of flipping a coin
2823,housewife,a wife who manages a household while her husband earns the family income
2824,pardon,the act of excusing a mistake or offense
2825,miracle,any amazing or wonderful occurrence
2826,wilderness,(politics) a state of disfavor
2827,pigeon,wild and domesticated birds having a heavy body and short legs
2828,arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
2829,distributor,someone who markets merchandise
2830,sphere,a particular environment or walk of life
2831,intervention,"the act of intervening (as to mediate a dispute, etc.)"
2832,warm,NO DEFINITION FOUND
2833,angel,spiritual being attendant upon God
2834,constant,a quantity that does not vary
2835,hesitate,NO DEFINITION FOUND
2836,professor,someone who is a member of the faculty at a college or university
2837,launch,a motorboat with an open deck or a half deck
2838,rhetoric,using language effectively to please or persuade
2839,spare,an extra component of a machine or other apparatus
2840,rain,water falling in drops from vapor condensed in the atmosphere
2841,observer,a person who becomes aware (of things or events) through the senses
2842,widen,NO DEFINITION FOUND
2843,fun,activities that are enjoyable or amusing
2844,outfit,any cohesive unit such as a military company
2845,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
2846,stream,a natural body of running water flowing on or under the earth
2847,artist,a person whose creative work shows sensitivity and imagination
2848,elite,a group or class of persons enjoying superior intellectual or social or economic status
2849,settlement,a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
2850,researcher,a scientist who devotes himself to doing research
2851,disappoint,NO DEFINITION FOUND
2852,exception,a deliberate act of omission
2853,community,a group of people living in a particular local area
2854,knock,the sound of knocking (as on a door or in an engine or bearing)
2855,quest,a search for an alternative that meets cognitive criteria
2856,substitute,a person or thing that takes or can take the place of another
2857,mutual,NO DEFINITION FOUND
2858,overcharge,a price that is too high
2859,announcement,a formal public statement
2860,commission,a special group delegated to consider some matter
2861,sit,NO DEFINITION FOUND
2862,injury,any physical damage to the body caused by violence or accident or fracture etc.
2863,nervous,NO DEFINITION FOUND
2864,champion,someone who has won first place in a competition
2865,seal,fastener consisting of a resinous composition that is plastic when warm; used for sealing documents and parcels and letters
2866,testify,NO DEFINITION FOUND
2867,can,airtight sealed metal container for food or drink or paint etc.
2868,impact,the striking of one body against another
2869,tin,a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
2870,player,a person who participates in or is skilled at some game
2871,dive,a cheap disreputable nightclub or dance hall
2872,pair,a set of two similar things considered as a unit
2873,approve,NO DEFINITION FOUND
2874,attractive,NO DEFINITION FOUND
2875,hip,either side of the body below the waist and above the thigh
2876,immune,a person who is immune to a particular infection
2877,hate,the emotion of intense dislike; a feeling of dislike so strong that it demands action
2878,inspiration,arousal of the mind to special unusual activity or creativity
2879,demonstrator,a teacher or teacher's assistant who demonstrates the principles that are being taught
2880,cope,brick that is laid sideways at the top of a wall
2881,adopt,NO DEFINITION FOUND
2882,protect,NO DEFINITION FOUND
2883,patient,a person who requires medical care
2884,stain,a soiled or discolored appearance
2885,unanimous,NO DEFINITION FOUND
2886,shop,a mercantile establishment for the retail sale of goods or services
2887,outer,NO DEFINITION FOUND
2888,thrust,the force used in pushing
2889,disclose,NO DEFINITION FOUND
2890,assumption,a statement that is assumed to be true and from which a conclusion can be drawn
2891,biology,the science that studies living organisms
2892,patience,good-natured tolerance of delay or incompetence
2893,enlarge,NO DEFINITION FOUND
2894,last,the temporal end; the concluding time
2895,trustee,a person (or institution) to whom legal title to property is entrusted to use for another's benefit
2896,abstract,a concept or idea not associated with any specific instance
2897,loyalty,the quality of being loyal
2898,ward,a person who is under the protection or in the custody of another
2899,crack,a long narrow opening
2900,relation,an abstraction belonging to or characteristic of two entities or parts together
2901,ankle,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
2902,squeeze,the act of gripping and pressing firmly
2903,predator,someone who attacks in search of booty
2904,computervirus,NO DEFINITION FOUND
2905,fabricate,NO DEFINITION FOUND
2906,snuggle,a close and affectionate (and often prolonged) embrace
2907,citizen,a native or naturalized member of a state or other political community
2908,spray,a pesticide in suspension or solution; intended for spraying
2909,disaster,a state of extreme (usually irremediable) ruin and misfortune
2910,twin,either of two offspring born at the same time from the same pregnancy
2911,drug,a substance that is used as a medicine or narcotic
2912,hell,any place of pain and turmoil; 
2913,division,an army unit large enough to sustain combat
2914,precedent,an example that is used to justify similar occurrences at a later time
2915,wrist,a joint between the distal end of the radius and the proximal row of carpal bones
2916,foolaround,NO DEFINITION FOUND
2917,pit,a sizeable hole (usually in the ground)
2918,absorb,NO DEFINITION FOUND
2919,suitcase,a portable rectangular container for carrying clothes
2920,marriage,the state of being a married couple voluntarily joined for life (or until divorce)
2921,withdrawal,a retraction of a previously held position
2922,hen,adult female chicken
2923,motorcycle,a motor vehicle with two wheels and a strong frame
2924,complete,NO DEFINITION FOUND
2925,world,everything that exists anywhere
2926,chart,a visual display of information
2927,concert,a performance of music by players or singers not involving theatrical staging
2928,vague,NO DEFINITION FOUND
2929,check,a written order directing a bank to pay money
2930,vessel,a tube in which a body fluid circulates
2931,drama,a dramatic work intended for performance by actors on a stage
2932,applaud,NO DEFINITION FOUND
2933,bike,a motor vehicle with two wheels and a strong frame
2934,wing,a movable organ for flying (one of a pair)
2935,drawing,"an illustration that is drawn by hand and published in a book, magazine, or newspaper"
2936,huge,NO DEFINITION FOUND
2937,shift,an event in which something is displaced without rotation
2938,route,an established line of travel or access
2939,hay,grass mowed and cured for use as fodder
2940,dare,a challenge to do something dangerous or foolhardy
2941,pay,something that remunerates
2942,text,the words of something written
2943,wheel,a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
2944,plant,buildings for carrying on industrial labor
2945,secretion,the organic process of synthesizing and releasing some substance
2946,brainstorm,the clear (and often sudden) understanding of a complex situation
2947,seek,the movement of a read/write head to a specific data track on a disk
2948,herd,a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
2949,labour,a social class comprising those who do manual labor or work for wages
2950,mask,a covering to disguise or conceal the face
2951,doubt,the state of being unsure of something
2952,executrix,a woman executor
2953,rib,support resembling the rib of an animal
2954,mailcarrier,NO DEFINITION FOUND
2955,strap,an elongated leather strip (or a strip of similar material) for binding things together or holding something in position
2956,first,the first or highest in an ordering or series
2957,novel,an extended fictional work in prose; usually in the form of a story
2958,ask,NO DEFINITION FOUND
2959,teach,an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
2960,berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
2961,principle,a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
2962,shiver,a reflex motion caused by cold or fear or excitement
2963,raid,a sudden short attack
2964,debut,the act of beginning something new
2965,direct,NO DEFINITION FOUND
2966,able,NO DEFINITION FOUND
2967,well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
2968,revise,the act of rewriting something
2969,operation,the state of being in effect or being operative
2970,spite,feeling a need to see others suffer
2971,remain,NO DEFINITION FOUND
2972,coup,a sudden and decisive change of government illegally or by force
2973,cool,the quality of being at a refreshingly low temperature
2974,critical,NO DEFINITION FOUND
2975,peak,the most extreme possible amount or value
2976,deteriorate,NO DEFINITION FOUND
2977,joy,the emotion of great happiness
2978,fibre,a slender and greatly elongated substance capable of being spun into yarn
2979,stir,a prominent or sensational but short-lived news event
2980,promote,NO DEFINITION FOUND
2981,prediction,the act of predicting (as by reasoning about the future)
2982,interface,(chemistry) a surface forming a common boundary between two things (two objects or liquids or chemical phases)
2983,hospital,a health facility where patients receive treatment
2984,apology,an expression of regret at having caused trouble for someone
2985,frog,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
2986,replacement,the act of furnishing an equivalent person or thing in the place of another
2987,investigation,an inquiry into unfamiliar or questionable activities
2988,acceptance,the mental attitude that something is believable and should be accepted as true
2989,characteristic,a prominent attribute or aspect of something
2990,army,a permanent organization of the military land forces of a nation or state
2991,organize,NO DEFINITION FOUND
2992,right,"an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"""
2993,calorie,a unit of heat equal to the amount of heat required to raise the temperature of one kilogram of water by one degree at one atmosphere pressure; used by nutritionists to characterize the energy-producing potential in food
2994,appearance,outward or visible aspect of a person or thing
2995,ladder,steps consisting of two parallel members connected by rungs; for climbing up or down
2996,zero,a quantity of no importance
2997,summit,the highest level or degree attainable; the highest stage of development
2998,lamp,an artificial source of visible illumination
2999,coalition,an organization of people (or countries) involved in a pact or treaty
3000,bat,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
3001,similar,NO DEFINITION FOUND
3002,lead,an advantage held by a competitor in a race
3003,accurate,NO DEFINITION FOUND
3004,topple,NO DEFINITION FOUND
3005,split,extending the legs at right angles to the trunk (one in front and the other in back)
3006,revival,bringing again into activity and prominence
3007,settle,a long wooden bench with a back
3008,pitch,the property of sound that varies with variation in the frequency of vibration
3009,neglect,lack of attention and due care
3010,planet,"(astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction"
3011,FALSE,NO DEFINITION FOUND
3012,maximum,the largest possible quantity
3013,related,NO DEFINITION FOUND
3014,advocate,a person who pleads for a cause or propounds an idea
3015,mastermind,someone who creates new things
3016,breakin,NO DEFINITION FOUND
3017,angle,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
3018,habit,an established custom
3019,affair,a vaguely specified concern
3020,available,NO DEFINITION FOUND
3021,truth,a fact that has been verified
3022,verdict,(law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
3023,misery,a state of ill-being due to affliction or misfortune
3024,passion,a strong feeling or emotion
3025,tap,the sound made by a gentle blow
3026,indication,something that serves to indicate or suggest
3027,cake,a block of solid substance (such as soap or wax)
3028,conservative,a person who is reluctant to accept changes and new ideas
3029,proud,NO DEFINITION FOUND
3030,hemisphere,half of the terrestrial globe
3031,duty,"the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr"
3032,retain,NO DEFINITION FOUND
3033,scrap,a small fragment of something broken off from the whole
3034,champagne,a white sparkling wine either produced in Champagne or resembling that produced there
3035,welcome,the state of being welcome
3036,mechanism,the atomic process that occurs during a chemical reaction
3037,carpet,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
3038,rumor,gossip (usually a mixture of truth and untruth) passed around by word of mouth
3039,hook,a catch for locking a door
3040,scratch,an abraded area where the skin is torn or worn off
3041,period,an amount of time
3042,storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
3043,rush,the act of moving hurriedly and in a careless manner
3044,deport,NO DEFINITION FOUND
3045,lineage,the descendants of one individual
3046,wild,a wild primitive state untouched by civilization
3047,bin,a container; usually has a lid
3048,tragedy,an event resulting in great loss and misfortune
3049,cow,"female of domestic cattle: ""`moo-cow' is a child's term"""
3050,calendar,a system of timekeeping that defines the beginning and length and divisions of the year
3051,appetite,a feeling of craving something
3052,arch,a curved shape in the vertical plane that spans an opening
3053,fountain,a structure from which an artificially produced jet of water arises
3054,baseball,a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
3055,mislead,NO DEFINITION FOUND
3056,inn,a hotel providing overnight lodging for travelers
3057,transform,NO DEFINITION FOUND
3058,retirement,the state of being retired from one's business or occupation
3059,forge,furnace consisting of a special hearth where metal is heated before shaping
3060,bitch,an unpleasant difficulty
3061,album,one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
3062,quantity,how much there is or how many there are of something that you can quantify
3063,admire,NO DEFINITION FOUND
3064,cage,an enclosure made or wire or metal bars in which birds or animals can be kept
3065,tasty,NO DEFINITION FOUND
3066,put,the option to sell a given stock (or stock index or commodity future) at a given price before a given date
3067,access,the right to enter
3068,crisis,an unstable situation of extreme danger or difficulty
3069,scale,an ordered reference standard
3070,host,a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
3071,complication,the act or process of complicating
3072,wonder,the feeling aroused by something strange and surprising
3073,birthday,an anniversary of the day on which a person was born (or the celebration of it)
3074,nap,a period of time spent sleeping
3075,witness,someone who sees an event and reports what happened
3076,pass,(baseball) an advance to first base by a batter who receives four balls
3077,dull,NO DEFINITION FOUND
3078,patrol,a detachment used for security or reconnaissance
3079,formula,a group of symbols that make a mathematical statement
3080,acquaintance,personal knowledge or information about someone or something
3081,passage,the act of passing from one state or place to the next
3082,formation,an arrangement of people or things acting as a unit
3083,policeman,a member of a police force
3084,abuse,cruel or inhumane treatment
3085,pupil,a learner who is enrolled in an educational institution
3086,conference,a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
3087,feedback,the process in which part of the output of a system is returned to its input in order to regulate its further output
3088,discuss,NO DEFINITION FOUND
3089,killer,someone who causes the death of a person or animal
3090,decoration,something used to beautify
3091,nerve,any bundle of nerve fibers running to various organs and tissues of the body
3092,lend,NO DEFINITION FOUND
3093,riot,a public act of violence by an unruly mob
3094,shy,a quick throw
3095,essay,an analytic or interpretive literary composition
3096,fairy,"a small being, human in form, playful and having magical powers"
3097,migration,the movement of persons from one country or locality to another
3098,clearance,the distance by which one thing clears another; the space between them
3099,motivation,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
3100,presidential,NO DEFINITION FOUND
3101,chauvinist,a person with a prejudiced belief in the superiority of his or her own kind
3102,address,(computer science) the code that identifies where a piece of information is stored
3103,peace,the state prevailing during the absence of war
3104,suppress,NO DEFINITION FOUND
3105,continental,NO DEFINITION FOUND
3106,reject,the person or thing that is rejected or set aside as inferior in quality
3107,profile,an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
3108,discourage,NO DEFINITION FOUND
3109,interference,a policy of intervening in the affairs of other countries
3110,kidney,either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
3111,colon,the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted
3112,workout,the activity of exerting your muscles in various ways to keep fit
3113,withdraw,NO DEFINITION FOUND
3114,congress,the legislature of the United States government
3115,diplomat,an official engaged in international negotiations
3116,reinforce,NO DEFINITION FOUND
3117,mention,a remark that calls attention to something or someone
3118,prince,a male member of a royal family other than the sovereign (especially the son of a sovereign)
3119,menu,a list of dishes available at a restaurant
3120,uniform,clothing of distinctive design worn by members of a particular group as a means of identification
3121,stand,a support or foundation
3122,quiet,a period of calm weather
